Order;PID;MS Zoning;Lot Frontage;Lot Area;Street;Lot Config;Neighborhood;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Exter Qual;Foundation;Total Bsmt SF;Heating;Gr Liv Area;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;TotRms AbvGrd;Fireplaces;Garage Type;Garage Yr Blt;Garage Cars;Garage Area;Pool Area;Fence;Misc Feature;Misc Val;Mo Sold;Yr Sold;SalePrice;SalePrice_log;Lot Area_log;Total Bsmt SF_log;TotalPorchSF;HouseAge;YearsSinceRemodel;IsRenovated;GrLivArea_m2;LotArea_boxcox;SalePrice_boxcox
22;527358200;RL;85.0;10625;Pave;Inside;NWAmes;1Fam;SFoyer;7;6;1974;1974;Gable;CompShg;Plywood;Plywood;TA;CBlock;1053.0;GasA;1173;2;0;3;1;6;2;Attchd;1974.0;2.0;528.0;0;MnPrv;NoFeature;0;1;2010;170000;12.043553716032399;9.270964993792617;6.960347729101308;120;36;36;0;108.98;17.9297989196622;12.615349086498098
23;527368020;FV;69.22;7500;Pave;Inside;Somerst;1Fam;2Story;7;5;2000;2000;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;814.0;GasA;1674;2;1;3;1;7;0;Attchd;2000.0;2.0;663.0;0;NoFence;NoFeature;0;1;2010;216000;12.283033686666302;8.922658299524402;6.703188113240863;96;10;10;0;155.52;16.798539318489834;12.878163566157493
24;527402200;RL;0.0;11241;Pave;CulDSac;NAmes;1Fam;1Story;6;7;1970;1970;Gable;CompShg;Wd Sdng;Wd Sdng;TA;CBlock;1004.0;GasA;1004;1;0;2;1;5;1;Attchd;1970.0;2.0;480.0;0;NoFence;Shed;700;3;2010;149000;11.911701584927597;9.327323087461798;6.912742820493176;0;40;40;0;93.27;18.117686973523888;12.47085475011022
25;527402250;RL;0.0;12537;Pave;CulDSac;NAmes;1Fam;1Story;5;6;1971;2008;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;1078.0;GasA;1078;1;1;3;1;6;1;Attchd;1971.0;2.0;500.0;0;NoFence;NoFeature;0;4;2010;149900;11.917723684090689;9.436439551116026;6.983789965258135;0;39;2;1;100.15;18.485382694738885;12.47745108488073
26;527403020;RL;65.0;8450;Pave;Inside;NAmes;1Fam;1Story;5;6;1968;1968;Gable;CompShg;VinylSd;VinylSd;TA;CBlock;1056.0;GasA;1056;1;0;3;1;6;1;Attchd;1968.0;1.0;304.0;0;NoFence;NoFeature;0;7;2010;142000;11.863582336583399;9.041921720351219;6.963189985870238;269;42;42;0;98.11;17.180162762140984;12.418158009632663
27;527404120;RL;70.0;8400;Pave;Corner;NAmes;1Fam;1Story;4;5;1970;1970;Gable;CompShg;Plywood;Plywood;TA;CBlock;882.0;GasA;882;1;0;2;1;4;0;Attchd;1970.0;2.0;525.0;0;MnPrv;NoFeature;0;4;2010;126000;11.744037185933616;9.035986984831405;6.78332520060396;0;40;40;0;81.94;17.16103291958329;12.287324622120634
28;527425090;RL;70.0;10500;Pave;FR2;NAmes;1Fam;1Story;4;5;1971;1971;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;864.0;GasA;864;1;0;3;1;5;1;NoGarage;0.0;0.0;0.0;0;NoFence;NoFeature;0;4;2010;115000;11.652687407345388;9.259130536145614;6.762729506931879;0;39;39;0;80.27;17.890518791933804;12.18742955386258
29;527427230;RH;26.0;5858;Pave;FR2;NAmes;TwnhsE;1Story;7;5;1999;1999;Gable;CompShg;MetalSd;MetalSd;Gd;PConc;1405.0;GasA;1337;2;0;2;1;5;1;Attchd;1999.0;2.0;511.0;0;NoFence;NoFeature;0;6;2010;184000;12.122691036591123;8.675563527387679;7.2485040723706105;68;11;11;0;124.21;16.026384503211705;12.702144190010566
30;527451180;RM;21.0;1680;Pave;Inside;BrDale;Twnhs;2Story;6;5;1971;1971;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;483.0;GasA;987;1;1;2;1;5;0;Detchd;1971.0;1.0;264.0;0;NoFence;NoFeature;0;2;2010;96000;11.472103470449973;7.426549072397305;6.182084906716632;0;39;39;0;91.7;12.479918727794903;11.99015807290535
31;527451330;RM;21.0;1680;Pave;Inside;BrDale;Twnhs;2Story;5;5;1971;1971;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;525.0;GasA;1092;1;1;3;1;6;0;Detchd;1997.0;1.0;320.0;0;NoFence;NoFeature;0;3;2010;105500;11.566466231898259;7.426549072397305;6.26530121273771;0;39;39;0;101.45;12.479918727794903;12.093206812689866
32;527451410;RM;21.0;1680;Pave;Inside;BrDale;Twnhs;2Story;6;5;1971;1971;Gable;CompShg;HdBoard;ImStucc;TA;CBlock;525.0;GasA;1092;1;1;3;1;6;0;Detchd;1971.0;1.0;264.0;0;NoFence;NoFeature;0;3;2010;88000;11.385092093460344;7.426549072397305;6.26530121273771;0;39;39;0;101.45;12.479918727794903;11.895203252183544
33;527452190;RL;53.0;4043;Pave;Inside;NPkVill;TwnhsE;1Story;6;5;1977;1977;Gable;CompShg;Plywood;Plywood;TA;CBlock;1069.0;GasA;1069;2;0;2;1;4;1;Attchd;1977.0;2.0;440.0;0;NoFence;NoFeature;0;7;2010;127500;11.755871643580617;8.304742269640771;6.975413927455952;220;33;33;0;99.31;14.912976752120656;12.300271235437524
34;527453130;RL;24.0;2280;Pave;FR2;NPkVill;Twnhs;2Story;6;6;1975;1975;Gable;CompShg;Plywood;Brk Cmn;TA;CBlock;855.0;GasA;1456;2;1;3;1;6;1;Attchd;1975.0;2.0;440.0;0;NoFence;NoFeature;0;6;2010;149900;11.917723684090689;7.731930721948486;6.752270376141742;0;35;35;0;135.27;13.294798413150033;12.47745108488073
35;527453150;RL;24.0;2280;Pave;FR2;NPkVill;Twnhs;1Story;7;6;1975;1975;Gable;CompShg;Plywood;Brk Cmn;TA;CBlock;836.0;GasA;836;1;0;2;1;4;0;Attchd;1975.0;1.0;308.0;0;NoFence;NoFeature;0;6;2010;120000;11.695247021764184;7.731930721948486;6.729824070489475;30;35;35;0;77.67;13.294798413150033;12.233961716702497
36;527454200;RL;24.0;2280;Pave;Inside;NPkVill;Twnhs;2Story;6;5;1978;1978;Gable;CompShg;Plywood;Brk Cmn;TA;CBlock;855.0;GasA;1456;2;1;3;1;7;1;Attchd;1978.0;2.0;440.0;0;NoFence;NoFeature;0;7;2010;146000;11.891361900690473;7.731930721948486;6.752270376141742;0;32;32;0;135.27;13.294798413150033;12.448577825535915
37;528108120;RL;102.0;12858;Pave;Inside;NridgHt;1Fam;2Story;9;5;2009;2010;Gable;CompShg;VinylSd;VinylSd;Ex;PConc;1590.0;GasA;2334;2;1;3;1;10;1;Attchd;2009.0;3.0;751.0;0;NoFence;NoFeature;0;1;2010;376162;12.837775180646194;9.461721464701633;7.372118028337787;133;1;0;1;216.84;18.57132040870662;13.4888093292313
38;528112020;RL;98.0;11478;Pave;Inside;NridgHt;1Fam;1Story;8;5;2007;2008;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1704.0;GasA;1704;2;0;3;1;7;1;Attchd;2008.0;3.0;772.0;0;NoFence;NoFeature;0;5;2010;306000;12.631340380934517;9.348187438668308;7.4413203897176174;50;3;2;1;158.31;18.187593584345056;13.261268422047928
39;528120060;RL;83.0;10159;Pave;Inside;NridgHt;1Fam;1Story;9;5;2009;2010;Hip;CompShg;VinylSd;VinylSd;Ex;PConc;1930.0;GasA;1940;2;1;3;1;8;1;Attchd;2010.0;3.0;606.0;0;NoFence;NoFeature;0;4;2010;395192;12.88712700173598;9.226115291091546;7.565793282428515;95;1;0;1;180.23;17.781254495786477;13.543260133514133
40;528120090;RL;94.0;12883;Pave;Corner;NridgHt;1Fam;1Story;8;5;2009;2010;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1544.0;GasA;1544;2;0;3;1;7;0;Attchd;2009.0;3.0;868.0;0;NoFence;NoFeature;0;6;2010;290941;12.58087577645635;9.463663891791525;7.3427791893318455;35;1;0;1;143.44;18.577934708490453;13.205698859802734
41;528120100;RL;95.0;12182;Pave;Corner;NridgHt;1Fam;1Story;7;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1541.0;GasA;1541;2;0;3;1;7;1;Attchd;2005.0;2.0;532.0;0;NoFence;NoFeature;0;5;2010;220000;12.301382825334498;9.40771473139643;7.340835554123275;70;5;5;0;143.16;18.38808273180268;12.898320463736793
42;528120120;RL;90.0;11520;Pave;Inside;NridgHt;1Fam;1Story;9;5;2005;2005;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1698.0;GasA;1698;2;0;3;1;7;1;Attchd;2005.0;3.0;730.0;0;NoFence;NoFeature;0;6;2010;275000;12.524526376648708;9.351839934249883;7.4377951216719325;74;5;5;0;157.75;18.199850813132272;13.143674527878515
43;528138020;RL;79.0;14122;Pave;Inside;NridgHt;1Fam;1Story;8;5;2005;2006;Hip;CompShg;CemntBd;CmentBd;Gd;PConc;1822.0;GasA;1822;2;0;3;1;8;1;Attchd;2005.0;3.0;678.0;0;NoFence;NoFeature;0;2;2010;259000;12.464583340681674;9.555489144076292;7.508238774678663;119;5;4;1;169.27;18.89252141849691;13.077723965895103
44;528138060;RL;70.0;10171;Pave;Inside;NridgHt;1Fam;1Story;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1517.0;GasA;1535;2;0;3;1;7;0;Attchd;2004.0;2.0;532.0;0;NoFence;NoFeature;0;3;2010;214000;12.273731294003989;9.227295812625597;7.325148957955575;0;6;6;0;142.61;17.785153396805374;12.86794578082033
45;528150070;RL;100.0;12919;Pave;Inside;NridgHt;1Fam;1Story;9;5;2009;2010;Hip;CompShg;VinylSd;VinylSd;Ex;PConc;2330.0;GasA;2364;2;1;2;1;11;2;Attchd;2009.0;3.0;820.0;0;NoFence;NoFeature;0;3;2010;611657;13.323926946863102;9.466454374960302;7.754052639035757;67;1;0;1;219.62;18.587439697867982;14.026086368923854
46;528175010;RL;44.0;6371;Pave;Inside;NridgHt;TwnhsE;1Story;7;5;2009;2010;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1358.0;GasA;1358;2;0;2;1;6;1;Attchd;2010.0;2.0;484.0;0;NoFence;NoFeature;0;6;2010;224000;12.319401330837177;8.759511722116487;7.214504414151143;35;1;0;1;126.16;16.2859509118285;12.91811690566251
47;528176010;RL;110.0;14300;Pave;Inside;NridgHt;1Fam;1Story;9;5;2003;2004;Hip;CompShg;VinylSd;VinylSd;Ex;PConc;2846.0;GasA;2696;2;1;3;1;10;2;Attchd;2003.0;3.0;958.0;0;NoFence;NoFeature;0;6;2010;500000;13.122363377404328;9.568014816247999;7.954021087278037;150;7;6;1;250.47;18.935724117979667;13.803083403022514
48;528176070;RL;105.0;13650;Pave;Corner;NridgHt;1Fam;2Story;8;5;2002;2002;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1671.0;GasA;2250;2;1;3;1;7;1;Attchd;2002.0;3.0;756.0;0;NoFence;NoFeature;0;6;2010;320000;12.676076274775909;9.521494800613105;7.421775793644647;130;8;8;0;209.03;18.77562296482831;13.3105476896907
49;528180070;RL;61.0;7658;Pave;Inside;NridgHt;TwnhsE;1Story;9;5;2005;2005;Hip;CompShg;MetalSd;MetalSd;Ex;PConc;1752.0;GasA;1752;2;0;2;1;6;1;Attchd;2005.0;2.0;576.0;0;NoFence;NoFeature;0;2;2010;319900;12.675763725937609;8.943506132037239;7.469083884921234;82;5;5;0;162.77;16.864824627528208;13.310203339956832
50;528181050;RL;41.0;7132;Pave;Inside;NridgHt;TwnhsE;1Story;8;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1370.0;GasA;1370;2;0;2;1;6;1;Attchd;2006.0;2.0;484.0;0;NoFence;NoFeature;0;4;2010;205000;12.230765258120545;8.872346978983032;7.223295679562314;49;4;4;0;127.28;16.639310418855587;12.82076114205466
51;528188120;RL;36.0;2628;Pave;Inside;NridgHt;Twnhs;2Story;7;5;2003;2003;Gable;CompShg;VinylSd;Wd Shng;Gd;PConc;764.0;GasA;1626;2;1;2;1;6;0;BuiltIn;2003.0;2.0;474.0;0;NoFence;NoFeature;0;6;2010;175500;12.075394321888057;7.873978379604501;6.639875833826536;27;7;7;0;151.06;13.684958789302062;12.6502644600196
52;528218150;RL;100.0;18494;Pave;Corner;Gilbert;1Fam;1Story;6;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1324.0;GasA;1324;2;0;3;1;6;0;Attchd;2005.0;2.0;430.0;0;NoFence;NoFeature;0;1;2010;199500;12.203569515312056;9.825201634137583;7.1891677384203225;23;5;5;0;123.0;19.83846326561462;12.790903204222628
53;528228285;RL;43.0;3203;Pave;Inside;Blmngtn;TwnhsE;1Story;7;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1145.0;GasA;1145;2;0;2;1;6;0;Attchd;2006.0;2.0;437.0;0;NoFence;NoFeature;0;1;2010;160000;11.982929094215963;8.071843149609158;7.044032897274685;116;4;4;0;106.37;14.240531475730915;12.548893586390399
54;528228440;RL;43.0;3182;Pave;Inside;Blmngtn;TwnhsE;1Story;8;5;2004;2005;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1256.0;GasA;1269;2;0;2;1;6;1;Attchd;2004.0;2.0;430.0;0;NoFence;NoFeature;0;4;2010;192000;12.165250651009918;8.065265208897733;7.136483208590247;164;6;5;1;117.89;14.221832016152801;12.74884383402707
55;528231020;RL;67.0;13300;Pave;Inside;Gilbert;1Fam;SLvl;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;384.0;GasA;1374;2;1;3;1;7;1;BuiltIn;2004.0;2.0;400.0;0;NoFence;NoFeature;0;6;2010;184500;12.125404742462718;9.495519314209846;5.953243334287785;0;6;6;0;127.65;18.686645621446093;12.705121420905112
56;528240070;RL;69.22;7851;Pave;Inside;Gilbert;1Fam;2Story;6;5;2002;2002;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;860.0;GasA;1960;2;1;4;1;8;2;BuiltIn;2002.0;2.0;440.0;0;NoFence;NoFeature;0;5;2010;216500;12.285345826424681;8.968396191198256;6.7580945044277305;48;8;8;0;182.09;16.94419682558104;12.880703342465715
57;528240130;RL;63.0;8577;Pave;Inside;Gilbert;1Fam;2Story;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;847.0;GasA;1733;2;1;3;1;7;1;BuiltIn;2004.0;2.0;433.0;0;NoFence;NoFeature;0;4;2010;185088;12.128586666638327;9.056839480990421;6.742880635791903;48;6;6;0;161.0;17.22831317803879;12.708612416937443
58;528250100;RL;69.22;7750;Pave;Inside;Gilbert;1Fam;SLvl;7;5;2000;2000;Gable;CompShg;VinylSd;VinylSd;TA;PConc;384.0;GasA;1430;2;1;3;1;7;1;BuiltIn;2000.0;2.0;400.0;0;NoFence;NoFeature;0;4;2010;180000;12.100712129872347;8.955448122347393;5.953243334287785;0;10;10;0;132.85;16.902874655272097;12.67803321119934
59;528292020;RL;0.0;9505;Pave;CulDSac;Gilbert;1Fam;2Story;7;5;2001;2001;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;884.0;GasA;2035;2;1;3;1;8;1;BuiltIn;2001.0;2.0;434.0;0;NoFence;NoFeature;0;5;2010;222500;12.312682380588432;9.15957325492253;6.785587645007929;48;9;9;0;189.06;17.562447340502004;12.910734658955121
60;528328100;RL;108.0;14774;Pave;Corner;NoRidge;1Fam;2Story;9;5;1999;1999;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1393.0;GasA;2599;2;1;4;1;10;1;BuiltIn;1999.0;3.0;779.0;0;NoFence;NoFeature;0;5;2010;333168;12.716402146247475;9.600624158088683;7.2399325913204695;30;11;11;0;241.45;19.04852727294915;13.354983497754912
61;528344070;RL;60.0;17433;Pave;CulDSac;NoRidge;1Fam;2Story;8;5;1998;1998;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1629.0;GasA;2475;2;1;4;1;7;1;Attchd;1998.0;3.0;962.0;0;NoFence;NoFeature;0;1;2010;355000;12.779873068457553;9.766120240743215;7.396335293800808;428;12;12;0;229.93;19.628416707943597;13.424951008856747
62;528358010;RL;59.0;10593;Pave;Inside;NoRidge;1Fam;1Story;7;5;1996;1996;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1720.0;GasA;1720;2;0;3;1;7;1;Attchd;1996.0;2.0;527.0;0;NoFence;NoFeature;0;3;2010;260400;12.46997418931655;9.267948684596496;7.450660796211539;210;14;14;0;159.79;17.919781674646728;13.083653851941177
63;528363130;RL;98.0;12256;Pave;Corner;NoRidge;1Fam;2Story;8;5;1994;1995;Gable;CompShg;HdBoard;HdBoard;Gd;PConc;1463.0;GasA;2622;2;1;3;1;9;2;Attchd;1994.0;2.0;712.0;0;NoFence;NoFeature;0;4;2010;325000;12.691580461311874;9.413770891980372;7.288927694521257;32;16;15;1;243.59;18.408566748193806;13.327630412825357
64;528382020;RL;92.0;11764;Pave;CulDSac;NoRidge;1Fam;2Story;8;7;1999;2007;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1152.0;GasA;2270;2;1;4;1;9;1;Attchd;1999.0;3.0;671.0;0;NoFence;NoFeature;0;4;2010;290000;12.577636201962656;9.372799299673886;7.050122520269059;57;11;3;1;210.89;18.270299496697522;13.202132304801706
65;528382030;RL;58.0;16770;Pave;CulDSac;NoRidge;1Fam;2Story;7;5;1998;1998;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1195.0;GasA;1839;2;1;4;1;7;0;Attchd;1998.0;2.0;486.0;0;NoFence;NoFeature;0;6;2010;221000;12.30591798049989;9.727346854817254;7.086737934510577;81;12;12;0;170.85;19.491440068061554;12.903302858593092
66;528386040;RL;56.0;14720;Pave;CulDSac;NoRidge;1Fam;1.5Fin;8;5;1995;1996;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;2033.0;GasA;3238;2;1;4;1;9;1;Attchd;1996.0;3.0;666.0;0;NoFence;NoFeature;0;3;2010;410000;12.92391243868049;9.596962392282867;7.617759576608505;86;15;14;1;300.82;19.03583663659073;13.583859570823783
67;528445060;RL;73.0;8987;Pave;Inside;Somerst;1Fam;1Story;8;5;2005;2006;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1595.0;GasA;1595;2;0;2;1;6;1;Attchd;2005.0;3.0;880.0;0;NoFence;NoFeature;0;5;2010;221500;12.308177868467327;9.103534367658373;7.3752557780097545;0;5;4;1;148.18;17.37963401565029;12.905785672566411
