Order;PID;MS Zoning;Lot Frontage;Lot Area;Street;Lot Config;Neighborhood;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Exter Qual;Foundation;Total Bsmt SF;Heating;1st Flr SF;2nd Flr SF;Gr Liv Area;Full Bath;Half Bath;Bedroom AbvGr;Kitchen AbvGr;TotRms AbvGrd;Fireplaces;Garage Type;Garage Yr Blt;Garage Cars;Garage Area;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;Pool Area;Fence;Misc Feature;Misc Val;Mo Sold;Yr Sold;SalePrice
27;527404120;RL;70.0;8400;Pave;Corner;NAmes;1Fam;1Story;4;5;1970;1970;Gable;CompShg;Plywood;Plywood;TA;CBlock;882.0;GasA;882;0;882;1;0;2;1;4;0;Attchd;1970.0;2.0;525.0;0;0;0;0;0;MnPrv;;0;4;2010;126000
28;527425090;RL;70.0;10500;Pave;FR2;NAmes;1Fam;1Story;4;5;1971;1971;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;864.0;GasA;864;0;864;1;0;3;1;5;1;;;0.0;0.0;0;0;0;0;0;;;0;4;2010;115000
29;527427230;RH;26.0;5858;Pave;FR2;NAmes;TwnhsE;1Story;7;5;1999;1999;Gable;CompShg;MetalSd;MetalSd;Gd;PConc;1405.0;GasA;1337;0;1337;2;0;2;1;5;1;Attchd;1999.0;2.0;511.0;68;0;0;0;0;;;0;6;2010;184000
30;527451180;RM;21.0;1680;Pave;Inside;BrDale;Twnhs;2Story;6;5;1971;1971;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;483.0;GasA;483;504;987;1;1;2;1;5;0;Detchd;1971.0;1.0;264.0;0;0;0;0;0;;;0;2;2010;96000
31;527451330;RM;21.0;1680;Pave;Inside;BrDale;Twnhs;2Story;5;5;1971;1971;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;525.0;GasA;525;567;1092;1;1;3;1;6;0;Detchd;1997.0;1.0;320.0;0;0;0;0;0;;;0;3;2010;105500
32;527451410;RM;21.0;1680;Pave;Inside;BrDale;Twnhs;2Story;6;5;1971;1971;Gable;CompShg;HdBoard;ImStucc;TA;CBlock;525.0;GasA;525;567;1092;1;1;3;1;6;0;Detchd;1971.0;1.0;264.0;0;0;0;0;0;;;0;3;2010;88000
33;527452190;RL;53.0;4043;Pave;Inside;NPkVill;TwnhsE;1Story;6;5;1977;1977;Gable;CompShg;Plywood;Plywood;TA;CBlock;1069.0;GasA;1069;0;1069;2;0;2;1;4;1;Attchd;1977.0;2.0;440.0;55;0;0;165;0;;;0;7;2010;127500
34;527453130;RL;24.0;2280;Pave;FR2;NPkVill;Twnhs;2Story;6;6;1975;1975;Gable;CompShg;Plywood;Brk Cmn;TA;CBlock;855.0;GasA;855;601;1456;2;1;3;1;6;1;Attchd;1975.0;2.0;440.0;0;0;0;0;0;;;0;6;2010;149900
35;527453150;RL;24.0;2280;Pave;FR2;NPkVill;Twnhs;1Story;7;6;1975;1975;Gable;CompShg;Plywood;Brk Cmn;TA;CBlock;836.0;GasA;836;0;836;1;0;2;1;4;0;Attchd;1975.0;1.0;308.0;30;0;0;0;0;;;0;6;2010;120000
36;527454200;RL;24.0;2280;Pave;Inside;NPkVill;Twnhs;2Story;6;5;1978;1978;Gable;CompShg;Plywood;Brk Cmn;TA;CBlock;855.0;GasA;855;601;1456;2;1;3;1;7;1;Attchd;1978.0;2.0;440.0;0;0;0;0;0;;;0;7;2010;146000
37;528108120;RL;102.0;12858;Pave;Inside;NridgHt;1Fam;2Story;9;5;2009;2010;Gable;CompShg;VinylSd;VinylSd;Ex;PConc;1590.0;GasA;1627;707;2334;2;1;3;1;10;1;Attchd;2009.0;3.0;751.0;133;0;0;0;0;;;0;1;2010;376162
38;528112020;RL;98.0;11478;Pave;Inside;NridgHt;1Fam;1Story;8;5;2007;2008;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1704.0;GasA;1704;0;1704;2;0;3;1;7;1;Attchd;2008.0;3.0;772.0;50;0;0;0;0;;;0;5;2010;306000
39;528120060;RL;83.0;10159;Pave;Inside;NridgHt;1Fam;1Story;9;5;2009;2010;Hip;CompShg;VinylSd;VinylSd;Ex;PConc;1930.0;GasA;1940;0;1940;2;1;3;1;8;1;Attchd;2010.0;3.0;606.0;95;0;0;0;0;;;0;4;2010;395192
40;528120090;RL;94.0;12883;Pave;Corner;NridgHt;1Fam;1Story;8;5;2009;2010;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1544.0;GasA;1544;0;1544;2;0;3;1;7;0;Attchd;2009.0;3.0;868.0;35;0;0;0;0;;;0;6;2010;290941
41;528120100;RL;95.0;12182;Pave;Corner;NridgHt;1Fam;1Story;7;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1541.0;GasA;1541;0;1541;2;0;3;1;7;1;Attchd;2005.0;2.0;532.0;70;0;0;0;0;;;0;5;2010;220000
42;528120120;RL;90.0;11520;Pave;Inside;NridgHt;1Fam;1Story;9;5;2005;2005;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1698.0;GasA;1698;0;1698;2;0;3;1;7;1;Attchd;2005.0;3.0;730.0;74;0;0;0;0;;;0;6;2010;275000
43;528138020;RL;79.0;14122;Pave;Inside;NridgHt;1Fam;1Story;8;5;2005;2006;Hip;CompShg;CemntBd;CmentBd;Gd;PConc;1822.0;GasA;1822;0;1822;2;0;3;1;8;1;Attchd;2005.0;3.0;678.0;119;0;0;0;0;;;0;2;2010;259000
44;528138060;RL;70.0;10171;Pave;Inside;NridgHt;1Fam;1Story;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1517.0;GasA;1535;0;1535;2;0;3;1;7;0;Attchd;2004.0;2.0;532.0;0;0;0;0;0;;;0;3;2010;214000
45;528150070;RL;100.0;12919;Pave;Inside;NridgHt;1Fam;1Story;9;5;2009;2010;Hip;CompShg;VinylSd;VinylSd;Ex;PConc;2330.0;GasA;2364;0;2364;2;1;2;1;11;2;Attchd;2009.0;3.0;820.0;67;0;0;0;0;;;0;3;2010;611657
46;528175010;RL;44.0;6371;Pave;Inside;NridgHt;TwnhsE;1Story;7;5;2009;2010;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1358.0;GasA;1358;0;1358;2;0;2;1;6;1;Attchd;2010.0;2.0;484.0;35;0;0;0;0;;;0;6;2010;224000
47;528176010;RL;110.0;14300;Pave;Inside;NridgHt;1Fam;1Story;9;5;2003;2004;Hip;CompShg;VinylSd;VinylSd;Ex;PConc;2846.0;GasA;2696;0;2696;2;1;3;1;10;2;Attchd;2003.0;3.0;958.0;150;0;0;0;0;;;0;6;2010;500000
48;528176070;RL;105.0;13650;Pave;Corner;NridgHt;1Fam;2Story;8;5;2002;2002;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1671.0;GasA;1687;563;2250;2;1;3;1;7;1;Attchd;2002.0;3.0;756.0;130;0;0;0;0;;;0;6;2010;320000
49;528180070;RL;61.0;7658;Pave;Inside;NridgHt;TwnhsE;1Story;9;5;2005;2005;Hip;CompShg;MetalSd;MetalSd;Ex;PConc;1752.0;GasA;1752;0;1752;2;0;2;1;6;1;Attchd;2005.0;2.0;576.0;82;0;0;0;0;;;0;2;2010;319900
50;528181050;RL;41.0;7132;Pave;Inside;NridgHt;TwnhsE;1Story;8;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1370.0;GasA;1370;0;1370;2;0;2;1;6;1;Attchd;2006.0;2.0;484.0;49;0;0;0;0;;;0;4;2010;205000
51;528188120;RL;36.0;2628;Pave;Inside;NridgHt;Twnhs;2Story;7;5;2003;2003;Gable;CompShg;VinylSd;Wd Shng;Gd;PConc;764.0;GasA;764;862;1626;2;1;2;1;6;0;BuiltIn;2003.0;2.0;474.0;27;0;0;0;0;;;0;6;2010;175500
52;528218150;RL;100.0;18494;Pave;Corner;Gilbert;1Fam;1Story;6;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1324.0;GasA;1324;0;1324;2;0;3;1;6;0;Attchd;2005.0;2.0;430.0;23;0;0;0;0;;;0;1;2010;199500
53;528228285;RL;43.0;3203;Pave;Inside;Blmngtn;TwnhsE;1Story;7;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1145.0;GasA;1145;0;1145;2;0;2;1;6;0;Attchd;2006.0;2.0;437.0;116;0;0;0;0;;;0;1;2010;160000
54;528228440;RL;43.0;3182;Pave;Inside;Blmngtn;TwnhsE;1Story;8;5;2004;2005;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1256.0;GasA;1269;0;1269;2;0;2;1;6;1;Attchd;2004.0;2.0;430.0;20;0;0;144;0;;;0;4;2010;192000
55;528231020;RL;67.0;13300;Pave;Inside;Gilbert;1Fam;SLvl;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;384.0;GasA;744;630;1374;2;1;3;1;7;1;BuiltIn;2004.0;2.0;400.0;0;0;0;0;0;;;0;6;2010;184500
56;528240070;RL;;7851;Pave;Inside;Gilbert;1Fam;2Story;6;5;2002;2002;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;860.0;GasA;860;1100;1960;2;1;4;1;8;2;BuiltIn;2002.0;2.0;440.0;48;0;0;0;0;;;0;5;2010;216500
57;528240130;RL;63.0;8577;Pave;Inside;Gilbert;1Fam;2Story;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;847.0;GasA;847;886;1733;2;1;3;1;7;1;BuiltIn;2004.0;2.0;433.0;48;0;0;0;0;;;0;4;2010;185088
58;528250100;RL;;7750;Pave;Inside;Gilbert;1Fam;SLvl;7;5;2000;2000;Gable;CompShg;VinylSd;VinylSd;TA;PConc;384.0;GasA;774;656;1430;2;1;3;1;7;1;BuiltIn;2000.0;2.0;400.0;0;0;0;0;0;;;0;4;2010;180000
59;528292020;RL;;9505;Pave;CulDSac;Gilbert;1Fam;2Story;7;5;2001;2001;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;884.0;GasA;884;1151;2035;2;1;3;1;8;1;BuiltIn;2001.0;2.0;434.0;48;0;0;0;0;;;0;5;2010;222500
60;528328100;RL;108.0;14774;Pave;Corner;NoRidge;1Fam;2Story;9;5;1999;1999;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1393.0;GasA;1422;1177;2599;2;1;4;1;10;1;BuiltIn;1999.0;3.0;779.0;30;0;0;0;0;;;0;5;2010;333168
61;528344070;RL;60.0;17433;Pave;CulDSac;NoRidge;1Fam;2Story;8;5;1998;1998;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1629.0;GasA;1645;830;2475;2;1;4;1;7;1;Attchd;1998.0;3.0;962.0;172;0;0;256;0;;;0;1;2010;355000
62;528358010;RL;59.0;10593;Pave;Inside;NoRidge;1Fam;1Story;7;5;1996;1996;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1720.0;GasA;1720;0;1720;2;0;3;1;7;1;Attchd;1996.0;2.0;527.0;56;154;0;0;0;;;0;3;2010;260400
63;528363130;RL;98.0;12256;Pave;Corner;NoRidge;1Fam;2Story;8;5;1994;1995;Gable;CompShg;HdBoard;HdBoard;Gd;PConc;1463.0;GasA;1500;1122;2622;2;1;3;1;9;2;Attchd;1994.0;2.0;712.0;32;0;0;0;0;;;0;4;2010;325000
64;528382020;RL;92.0;11764;Pave;CulDSac;NoRidge;1Fam;2Story;8;7;1999;2007;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1152.0;GasA;1164;1106;2270;2;1;4;1;9;1;Attchd;1999.0;3.0;671.0;57;0;0;0;0;;;0;4;2010;290000
65;528382030;RL;58.0;16770;Pave;CulDSac;NoRidge;1Fam;2Story;7;5;1998;1998;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1195.0;GasA;1195;644;1839;2;1;4;1;7;0;Attchd;1998.0;2.0;486.0;81;0;0;0;0;;;0;6;2010;221000
66;528386040;RL;56.0;14720;Pave;CulDSac;NoRidge;1Fam;1.5Fin;8;5;1995;1996;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;2033.0;GasA;2053;1185;3238;2;1;4;1;9;1;Attchd;1996.0;3.0;666.0;86;0;0;0;0;;;0;3;2010;410000
67;528445060;RL;73.0;8987;Pave;Inside;Somerst;1Fam;1Story;8;5;2005;2006;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1595.0;GasA;1595;0;1595;2;0;2;1;6;1;Attchd;2005.0;3.0;880.0;0;0;0;0;0;;;0;5;2010;221500
68;528456160;FV;92.0;9215;Pave;Inside;Somerst;1Fam;1Story;7;5;2009;2010;Hip;CompShg;VinylSd;VinylSd;Gd;PConc;1218.0;GasA;1218;0;1218;2;0;2;1;4;0;Attchd;2009.0;2.0;676.0;136;0;0;0;0;;;0;4;2010;204500
69;528458070;FV;72.0;8640;Pave;Inside;Somerst;1Fam;2Story;7;5;2009;2009;Gable;CompShg;VinylSd;VinylSd;TA;PConc;756.0;GasA;764;783;1547;2;1;3;1;7;0;Attchd;2009.0;2.0;614.0;45;0;0;0;0;;;0;6;2010;215200
70;528458110;FV;75.0;9000;Pave;Inside;Somerst;1Fam;1Story;8;5;2008;2008;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1566.0;GasA;1566;0;1566;2;0;3;1;7;0;Attchd;2008.0;2.0;750.0;168;0;0;0;0;;;0;4;2010;262500
71;528477080;FV;100.0;12552;Pave;Corner;Somerst;1Fam;2Story;7;5;2004;2005;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;991.0;GasA;991;956;1947;2;1;3;1;8;1;Attchd;2004.0;2.0;678.0;136;0;0;0;0;GdWo;;0;5;2010;254900
72;528480090;FV;84.0;10440;Pave;Corner;Somerst;1Fam;1Story;6;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;1468.0;GasA;1468;0;1468;2;0;2;1;6;1;Attchd;2005.0;2.0;528.0;102;0;0;216;0;;;0;5;2010;271500
73;531367050;RL;76.0;10142;Pave;Inside;SawyerW;1Fam;2Story;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;956.0;GasA;956;1128;2084;2;1;4;1;8;0;BuiltIn;2004.0;2.0;618.0;45;0;0;0;0;;;0;1;2010;233000
74;531369060;RL;70.0;11920;Pave;Inside;SawyerW;1Fam;2Story;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;831.0;GasA;831;828;1659;2;1;3;1;8;0;Attchd;2004.0;2.0;484.0;68;0;0;0;0;;;0;4;2010;181000
75;531380080;RL;;8880;Pave;Inside;SawyerW;1Fam;2Story;7;5;1994;2002;Gable;CompShg;VinylSd;VinylSd;Gd;PConc;948.0;GasA;1222;888;2110;2;1;3;1;8;2;Attchd;1994.0;2.0;463.0;130;0;0;0;0;;;0;5;2010;205000
76;531451110;RL;50.0;8012;Pave;Inside;SawyerW;TwnhsE;1Story;6;5;1980;1980;Gable;CompShg;Plywood;Plywood;TA;CBlock;923.0;GasA;923;0;923;2;0;2;1;5;1;Attchd;1980.0;1.0;264.0;0;0;0;0;0;;;0;5;2010;143000
77;531451280;RL;70.0;11218;Pave;Inside;SawyerW;1Fam;2Story;6;5;1992;1992;Gable;CompShg;Wd Sdng;Wd Sdng;Gd;PConc;1055.0;GasA;1055;790;1845;2;1;3;1;8;1;Attchd;1992.0;2.0;462.0;104;0;0;0;0;GdPrv;Shed;400;5;2010;189000
78;531452020;RL;55.0;7892;Pave;Inside;SawyerW;TwnhsE;1Story;6;5;1979;1979;Gable;CompShg;Plywood;Plywood;TA;CBlock;918.0;GasA;918;0;918;2;0;2;1;5;1;Attchd;1979.0;1.0;264.0;0;0;0;0;0;;;0;4;2010;99500
79;531452050;RL;50.0;7175;Pave;Inside;SawyerW;TwnhsE;1Story;6;5;1984;1984;Gable;CompShg;Plywood;Plywood;TA;CBlock;744.0;GasA;752;0;752;1;0;2;1;4;0;Attchd;1984.0;1.0;264.0;0;0;0;90;0;MnPrv;;0;2;2010;125000
80;531452180;RL;;9453;Pave;CulDSac;SawyerW;1Fam;2Story;7;7;1993;2003;Gable;CompShg;HdBoard;HdBoard;Gd;PConc;996.0;GasA;1014;730;1744;2;1;3;1;7;0;Attchd;1993.0;2.0;457.0;70;0;238;0;0;;;0;2;2010;194500
81;531453010;RL;81.0;9672;Pave;Corner;SawyerW;1Fam;1Story;6;5;1984;1985;Hip;CompShg;HdBoard;Plywood;TA;PConc;1040.0;GasA;1097;0;1097;2;0;3;1;6;0;Attchd;1986.0;2.0;480.0;0;0;0;0;0;GdPrv;;0;5;2010;152000
82;531453040;RL;70.0;8400;Pave;Inside;SawyerW;1Fam;2Story;6;6;1980;1981;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;650.0;GasA;888;676;1564;2;1;3;1;7;1;Attchd;1980.0;2.0;476.0;50;0;0;204;0;MnPrv;;0;4;2010;171000
83;531477050;RH;70.0;9800;Pave;Corner;SawyerW;1Fam;1Story;5;5;1920;1950;Gable;CompShg;Wd Sdng;Wd Sdng;TA;BrkTil;816.0;GasA;1012;0;1012;1;0;2;1;5;0;Detchd;1920.0;1.0;429.0;0;80;0;0;0;;;0;4;2010;67500
84;532351140;RM;68.0;8930;Pave;Inside;Sawyer;Duplex;1.5Fin;6;5;1978;1978;Gable;CompShg;VinylSd;VinylSd;TA;Slab;0.0;GasA;1318;584;1902;2;0;4;2;8;0;Attchd;1978.0;2.0;539.0;0;0;0;0;0;;;0;4;2010;112000
85;532354090;RL;88.0;11782;Pave;Inside;Sawyer;1Fam;SFoyer;5;7;1961;1995;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1109.0;GasA;1155;0;1155;1;0;3;1;6;0;Detchd;1987.0;2.0;576.0;0;0;0;0;0;MnPrv;Shed;400;6;2010;148000
86;532376160;RL;65.0;8450;Pave;Inside;Sawyer;1Fam;1Story;5;8;1965;2009;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;894.0;GasA;894;0;894;1;0;3;1;5;1;Detchd;1973.0;1.0;336.0;144;0;0;0;0;MnPrv;;0;4;2010;138500
87;532377060;RL;;9819;Pave;Inside;Sawyer;1Fam;1Story;5;5;1967;1967;Gable;CompShg;MetalSd;MetalSd;TA;CBlock;882.0;GasA;900;0;900;1;0;3;1;5;0;Detchd;1970.0;1.0;280.0;0;0;0;0;0;MnPrv;;0;2;2010;122000
88;532377100;RL;75.0;7500;Pave;Corner;Sawyer;1Fam;1Story;5;5;1963;1963;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1040.0;GasA;1040;0;1040;1;1;3;1;5;0;Attchd;1963.0;1.0;308.0;0;220;0;0;0;MnPrv;;0;6;2010;133000
89;532378110;RL;;6897;Pave;Corner;Sawyer;1Fam;1Story;5;8;1962;2010;Gable;CompShg;HdBoard;HdBoard;TA;CBlock;1040.0;GasA;1040;0;1040;1;1;3;1;6;0;Detchd;1962.0;1.0;260.0;104;0;0;0;0;;;0;4;2010;127000
90;532479070;RL;39.0;15410;Pave;CulDSac;Sawyer;1Fam;1Story;6;6;1974;2002;Hip;CompShg;Plywood;Plywood;TA;CBlock;1208.0;GasA;1494;0;1494;2;0;3;1;7;2;Attchd;1974.0;2.0;461.0;0;186;0;0;0;GdPrv;;0;4;2010;169000
